keys,ru,en

LANG_RU,Русский,Russian
LANG_EN,Английский,English

SETTINGS_TITLE,НАСТРОЙКИ,Settings
SETTINGS_LANGUAGE,Язык,Language
SETTINGS_FULLSCREEN,Полный экран,Fullscreen
SETTINGS_FX_OLD_FILM,Эффект старой плёнки,Old film effect
SETTINGS_RESOLUTION,Разрешение,Resolution
SETTINGS_SERVER,Сервер,Server
SETTINGS_VOLUME_MUSIC,Музыка,Music
SETTINGS_VOLUME_SFX,Эффекты,Sound effects

BTN_SAVE,Сохранить,Save
BTN_CANCEL,Отмена,Cancel
BTN_BACK,Назад,Back
BTN_CLOSE,Закрыть,Close
BTN_RESET,Сбросить,Reset
BTN_OK,OK,OK
BTN_YES,Да,Yes
BTN_NO,Нет,No

PHASE_ACTION,Действия,Actions
PHASE_ENCOUNTER,Встречи,Encounters
PHASE_MYTHOS,Мифы,Mythos

SIDEBAR_NEIGHBORS,СОСЕДНИЕ ЛОКАЦИИ,Neighboring Locations
SIDEBAR_NO_NEIGHBORS,—,—
LOC_TYPE_CITY,ГОРОД,City
LOC_TYPE_SEA,МОРЕ,Sea
LOC_TYPE_WILDERNESS,ДИКАЯ ЗЕМЛЯ,Wilderness
CONN_SHIP,морем,by ship
CONN_TRAIN,поездом,by train
CONN_UNCHARTED,путь,uncharted

PAUSE_RESUME,Продолжить,Resume
PAUSE_SETTINGS,Настройки,Settings
PAUSE_LEAVE,Выйти из игры,Leave game

MAIN_PLAY,Играть,Play
MAIN_SETTINGS,Настройки,Settings
MAIN_QUIT,Выйти,Quit

SHADER_DEBUG_TITLE,SHADER DEBUG  ·  Ctrl+M,SHADER DEBUG  ·  Ctrl+M
SHADER_POST_FX,POST FX,POST FX
SHADER_SELECTION,ВЫДЕЛЕНИЕ ЛОКАЦИИ,Selection
SHADER_SEPIA,Сепия,Sepia
SHADER_RADIUS,Радиус,Radius
SHADER_THICKNESS,Толщина,Thickness
SHADER_HALO_INNER,Halo внутр.,Halo inner
SHADER_HALO_OUTER,Halo внеш.,Halo outer
SHADER_HALO_STRENGTH,Сила halo,Halo strength
SHADER_HALO_FALLOFF,Спад halo,Halo falloff
SHADER_OFFSET_X,Сдвиг X,Offset X
SHADER_OFFSET_Y,Сдвиг Y,Offset Y
SHADER_PULSE_SPEED,Пульс скор.,Pulse speed
SHADER_PULSE_AMOUNT,Пульс размах,Pulse amount

INV_SILAS_MARSH_NAME,Сайлас Марш,Silas Marsh
INV_SILAS_MARSH_OCC,Моряк,The Sailor
INV_SILAS_MARSH_QUOTE,"«Оставьте свои страхи на причале, парни. Я не повезу этот груз. Ветер крепчает — поднять все паруса!»","«Leave your fears on the docks, lads. I'll not carry that cargo. The wind is up! Full sail!»"
INV_MONTEREY_JACK_NAME,Монтерей Джек,Monterey Jack
INV_MONTEREY_JACK_OCC,Археолог,The Archaeologist
INV_MONTEREY_JACK_QUOTE,«Ради такого сокровища я готов рискнуть парой отравленных дротиков.»,"«To find a treasure like that, I'll risk a few poison darts.»"
INV_DARRELL_SIMMONS_NAME,Даррелл Симмонс,Darrell Simmons
INV_DARRELL_SIMMONS_OCC,Фотограф,The Photographer
INV_DARRELL_SIMMONS_QUOTE,"«Правда темнее, чем кто-либо из нас способен представить.»",«The truth is darker than any of us know.»
INV_TRISH_SCARBOROUGH_NAME,Триш Скарборо,Trish Scarborough
INV_TRISH_SCARBOROUGH_OCC,Шпионка,The Spy
INV_TRISH_SCARBOROUGH_QUOTE,«Мы лжём постоянно. Но истина существует. Просто нужно уметь людей расшифровывать.»,«We lie all the time. But the truth is in there. You just have to know how to decode people.»
INV_ZOEY_SAMARAS_NAME,Зои Самарас,Zoey Samaras
INV_ZOEY_SAMARAS_OCC,Шеф-повар,The Chef
INV_ZOEY_SAMARAS_QUOTE,«Господь сказал своё слово. Я исполню Его волю без колебаний.»,«God has spoken. I will do His work without hesitation.»
INV_JACQUELINE_FINE_NAME,Жаклин Файн,Jacqueline Fine
INV_JACQUELINE_FINE_OCC,Ясновидящая,The Psychic
INV_JACQUELINE_FINE_QUOTE,«Видения — это предостережение. Будущее можно переписать.»,«The visions are a warning. The future can be rewritten.»
INV_DEXTER_DRAKE_NAME,Декстер Дрейк,Dexter Drake
INV_DEXTER_DRAKE_OCC,Маг,The Magician
INV_DEXTER_DRAKE_QUOTE,"«Не бойтесь. Я всю свою жизнь только и делал, что невозможное.»",«Do not be afraid. I have spent my entire life doing the impossible.»
INV_DIANA_STANLEY_NAME,Диана Стэнли,Diana Stanley
INV_DIANA_STANLEY_OCC,Раскаявшаяся культистка,The Redeemed Cultist
INV_DIANA_STANLEY_QUOTE,"«Ложа не столь невинна, какой притворяется. Я усвоила, что ничто не таково, каким кажется, — включая меня саму.»","«The Lodge is not as innocent as they pretend. I have learned that nothing is ever as it seems, myself included.»"
INV_AMANDA_SHARPE_NAME,Аманда Шарп,Amanda Sharpe
INV_AMANDA_SHARPE_OCC,Студентка,The Student
INV_AMANDA_SHARPE_QUOTE,«Истина разума усмиряет даже самые дикие заблуждения. Я не сделаюсь жертвой подобного безумия.»,«The truth of reason tempers even the wildest delusions. I will not fall prey to such madness.»
INV_GLORIA_GOLDBERG_NAME,Глория Голдберг,Gloria Goldberg
INV_GLORIA_GOLDBERG_OCC,Писательница,The Author
INV_GLORIA_GOLDBERG_QUOTE,«Никогда не недооценивайте силу написанного слова.»,«Never underestimate the power of the written word.»
INV_KATE_WINTHROP_NAME,Кейт Уинтроп,Kate Winthrop
INV_KATE_WINTHROP_OCC,Учёная,The Scientist
INV_KATE_WINTHROP_QUOTE,"«Профессор Янг учила меня, что всё проще, чем кажется. Связь обнаружится, если её искать.»",«Professor Young taught me that everything is simpler than it seems. The connection is there if you look for it.»
INV_MINH_THI_PHAN_NAME,Минь Тхи Фан,Minh Thi Phan
INV_MINH_THI_PHAN_OCC,Секретарь,The Secretary
INV_MINH_THI_PHAN_QUOTE,«Можете положиться на меня — я проведу вас сквозь неведомое.»,«You can depend on me to guide you through the unknown.»
INV_RITA_YOUNG_NAME,Рита Янг,Rita Young
INV_RITA_YOUNG_OCC,Спортсменка,The Athlete
INV_RITA_YOUNG_QUOTE,"«Имеешь ко мне счёт? Прекрасно. Мне не нужно твоё разрешение, чтобы оставить тебя глотать пыль.»",«You got a bone to pick? Fine by me. I don't need your permission to leave you in the dust.»
INV_JOE_DIAMOND_NAME,Джо Даймонд,Joe Diamond
INV_JOE_DIAMOND_OCC,Частный детектив,The Private Eye
INV_JOE_DIAMOND_QUOTE,"«Меня наняли на работу. Злые боги или нет, я намерен её закончить.»","«I was hired for a job. Evil gods or no, I aim to finish it.»"
INV_WILLIAM_YORICK_NAME,Уильям Йорик,William Yorick
INV_WILLIAM_YORICK_OCC,Могильщик,The Gravedigger
INV_WILLIAM_YORICK_QUOTE,"«Хоть это и безумие, но в нём есть система.»","«Though this be madness, yet there is method in't.»"
INV_AGATHA_CRANE_NAME,Агата Крейн,Agatha Crane
INV_AGATHA_CRANE_OCC,Парапсихолог,The Parapsychologist
INV_AGATHA_CRANE_QUOTE,"«Доказательство, как говорится, познаётся в деле.»","«The proof, as they say, is in the pudding.»"
INV_DANIELA_REYES_NAME,Даниэла Рейес,Daniela Reyes
INV_DANIELA_REYES_OCC,Механик,The Mechanic
INV_DANIELA_REYES_QUOTE,"«Расслабься, крутыш. Я разберусь. А ты постой вон там и сделай красивое лицо.»","«Relax, tough guy. I'll handle this. You stand over there and look pretty.»"
INV_ASHCAN_PETE_NAME,«Помоечник» Пит,"""Ashcan"" Pete"
INV_ASHCAN_PETE_OCC,Бродяга,The Drifter
INV_ASHCAN_PETE_QUOTE,"«Где-то там, может, и опасности водятся, да некоторым душам просто нужно бродить.»","«There may be dangers out there, but some souls just have to roam.»"
INV_MICHAEL_MCGLEN_NAME,Майкл Макглен,Michael McGlen
INV_MICHAEL_MCGLEN_OCC,Гангстер,The Gangster
INV_MICHAEL_MCGLEN_QUOTE,"«Плевать, бог это или нет. Кто мне поперёк дороги — тот пожалеет.»","«Don't care if it's a god. If it crosses me, it's gonna regret it.»"
INV_TOMMY_MULDOON_NAME,Томми Малдун,Tommy Muldoon
INV_TOMMY_MULDOON_OCC,Полицейский-новобранец,The Rookie Cop
INV_TOMMY_MULDOON_QUOTE,«Я принёс присягу следить за исполнением закона. Этим я и занят.»,«I took an oath to enforce the law. That's what I'm doing.»
INV_SEFINA_ROUSSEAU_NAME,Сефина Руссо,Sefina Rousseau
INV_SEFINA_ROUSSEAU_OCC,Художница,The Painter
INV_SEFINA_ROUSSEAU_QUOTE,"«Искусство — окно в реальность, нам не ведомую.»",«Art is a window into a reality beyond our knowing.»
INV_HARVEY_WALTERS_NAME,Харви Уолтерс,Harvey Walters
INV_HARVEY_WALTERS_OCC,Профессор,The Professor
INV_HARVEY_WALTERS_QUOTE,«У меня есть опыт обращения с подобными кошмарами.»,«I have experience dealing with these sorts of horrors.»
INV_MARIE_LAMBEAU_NAME,Мари Ламбо,Marie Lambeau
INV_MARIE_LAMBEAU_OCC,Артистка,The Entertainer
INV_MARIE_LAMBEAU_QUOTE,"«Я певала, когда grand-mère варила зелья и плела заговоры.»",«I used to sing as grand-mère made potions and charms.»
INV_GEORGE_BARNABY_NAME,Джордж Барнаби,George Barnaby
INV_GEORGE_BARNABY_OCC,Адвокат,The Lawyer
INV_GEORGE_BARNABY_QUOTE,«Я верю в высший закон. Я верю в истинное правосудие.»,«I believe in a higher law. I believe in true justice.»
INV_WENDY_ADAMS_NAME,Венди Адамс,Wendy Adams
INV_WENDY_ADAMS_OCC,Беспризорница,The Urchin
INV_WENDY_ADAMS_QUOTE,«Мелочи важны. Взрослые этого не видят.»,«The little things are important. Grown-ups don't see that.»
INV_LOLA_HAYES_NAME,Лола Хейс,Lola Hayes
INV_LOLA_HAYES_OCC,Актриса,The Actress
INV_LOLA_HAYES_QUOTE,«Я переиграла столько ролей. Безумие — закономерно.»,«I've played so many roles. Madness is to be expected.»
INV_REX_MURPHY_NAME,Рекс Мёрфи,Rex Murphy
INV_REX_MURPHY_OCC,Репортёр,The Reporter
INV_REX_MURPHY_QUOTE,"«Источники сообщают, что миру конец. Как раз моё везение.»",«My sources tell me that the world is ending. Just my luck.»
INV_LILY_CHEN_NAME,Лили Чен,Lily Chen
INV_LILY_CHEN_OCC,Мастер боевых искусств,The Martial Artist
INV_LILY_CHEN_QUOTE,«Я готовилась противостоять этому злу всю свою жизнь. Моя сосредоточенность должна быть безупречной.»,«I have been preparing to confront this evil for my entire life. My focus must be absolute.»
INV_BOB_JENKINS_NAME,Боб Дженкинс,Bob Jenkins
INV_BOB_JENKINS_OCC,Коммивояжёр,The Salesman
INV_BOB_JENKINS_QUOTE,«Реальность — лишь предмет переговоров.»,«Reality is just a matter of negotiation.»
INV_JIM_CULVER_NAME,Джим Калвер,Jim Culver
INV_JIM_CULVER_OCC,Музыкант,The Musician
INV_JIM_CULVER_QUOTE,"«Покойнички совсем шалеют, когда я берусь за свой рожок.»",«Dead folks get downright rambunctious when I play my horn.»
INV_JENNY_BARNES_NAME,Дженни Барнс,Jenny Barnes
INV_JENNY_BARNES_OCC,Дилетантка,The Dilettante
INV_JENNY_BARNES_QUOTE,"«Мою сестру забрали. Я заплачу любую сумму, чтобы её спасти.»",«My sister was taken. I will pay any amount to save her.»
INV_URSULA_DOWNS_NAME,Урсула Даунс,Ursula Downs
INV_URSULA_DOWNS_OCC,Путешественница,The Explorer
INV_URSULA_DOWNS_QUOTE,"«Открытие — дело нелёгкое, но это единственный путь, что стоит труда.»","«Discovery isn't easy, but it's the only worthwhile path.»"
INV_WILSON_RICHARDS_NAME,Уилсон Ричардс,Wilson Richards
INV_WILSON_RICHARDS_OCC,Мастер на все руки,The Handyman
INV_WILSON_RICHARDS_QUOTE,"«Нет ничего, чего не починили бы хороший план да упорный труд.»",«It's nothing a good plan and some hard work can't fix.»
INV_LUKE_ROBINSON_NAME,Люк Робинсон,Luke Robinson
INV_LUKE_ROBINSON_OCC,Сновидец,The Dreamer
INV_LUKE_ROBINSON_QUOTE,«Ключ к Странам снов лежит внутри каждого из нас.»,«The key to the Dreamlands lies within us all.»
INV_LEO_ANDERSON_NAME,Лео Андерсон,Leo Anderson
INV_LEO_ANDERSON_OCC,Глава экспедиции,The Expedition Leader
INV_LEO_ANDERSON_QUOTE,«Не останавливайся. Помрёшь в своё свободное время.»,«Keep moving. You can die on your own time.»
INV_PRESTON_FAIRMONT_NAME,Престон Фэрмонт,Preston Fairmont
INV_PRESTON_FAIRMONT_OCC,Миллионер,The Millionaire
INV_PRESTON_FAIRMONT_QUOTE,"«Мои деньги, моё наследие, моя забота. Позвольте мне разобраться по-своему.»","«My money, my legacy, my problem. Let me handle it in my own way.»"
INV_NORMAN_WITHERS_NAME,Норман Уизерс,Norman Withers
INV_NORMAN_WITHERS_OCC,Астроном,The Astronomer
INV_NORMAN_WITHERS_QUOTE,"«Пусть зовут меня сумасбродом! Со звёздами что-то происходит, и это не игра моего воображения.»","«Let them call me a crackpot! Something is happening to the stars, and I am not imagining it.»"
INV_FATHER_MATEO_NAME,Отец Матео,Father Mateo
INV_FATHER_MATEO_OCC,Священник,The Priest
INV_FATHER_MATEO_QUOTE,"«Тебе довольно заглянуть в собственное сердце, чтобы найти доказательство божественного.»",«You need only look in your heart to find proof of the divine.»
INV_CHARLIE_KANE_NAME,Чарли Кейн,Charlie Kane
INV_CHARLIE_KANE_OCC,Политик,The Politician
INV_CHARLIE_KANE_QUOTE,«Это можно устроить. Вопрос лишь в приемлемых условиях.»,«It can be arranged. It's just a matter of acceptable terms.»
INV_AKACHI_ONYELE_NAME,Акачи Оньеле,Akachi Onyele
INV_AKACHI_ONYELE_OCC,Шаманка,The Shaman
INV_AKACHI_ONYELE_QUOTE,"«Я отправлюсь в земли, лежащие за пределом. Я их не боюсь.»",«I will journey to the lands beyond. I do not fear them.»
INV_MARK_HARRIGAN_NAME,Марк Харриган,Mark Harrigan
INV_MARK_HARRIGAN_OCC,Солдат,The Soldier
INV_MARK_HARRIGAN_QUOTE,"«Я выхожу за эту дверь, и я забираю эту книгу. Кто хочет меня остановить — милости прошу попробовать.»","«I'm walking out that door, and I'm taking this book. Anyone who wants to stop me is welcome to try.»"
INV_CALVIN_WRIGHT_NAME,Кэлвин Райт,Calvin Wright
INV_CALVIN_WRIGHT_OCC,Одержимый,The Haunted
INV_CALVIN_WRIGHT_QUOTE,"«Я могу удержать эту тьму внутри себя. Я знаю, что могу.»",«I can contain this darkness within me. I know I can.»
INV_MANDY_THOMPSON_NAME,Мэнди Томпсон,Mandy Thompson
INV_MANDY_THOMPSON_OCC,Исследовательница,The Researcher
INV_MANDY_THOMPSON_QUOTE,«Я найду способ положить конец этому ужасу. Я не прекращу поиски.»,«I will find a way to end this horror. I will not stop searching.»
INV_DAISY_WALKER_NAME,Дейзи Уокер,Daisy Walker
INV_DAISY_WALKER_OCC,Библиотекарь,The Librarian
INV_DAISY_WALKER_QUOTE,"«Я знаю о книгах настолько могущественных, что они способны переписать реальность.»","«I know of books so powerful, they can rewrite reality.»"
INV_ROLAND_BANKS_NAME,Роланд Бэнкс,Roland Banks
INV_ROLAND_BANKS_OCC,Федерал,The Fed
INV_ROLAND_BANKS_QUOTE,"«Всё по букве закона, до последней запятой.»","«Every 'i' dotted, every 't' crossed.»"
INV_HANK_SAMSON_NAME,Хэнк Сэмсон,Hank Samson
INV_HANK_SAMSON_OCC,Батрак,The Farmhand
INV_HANK_SAMSON_QUOTE,"«У людей беда. Не надо быть гением, чтоб помочь.»",«Folks are in trouble. I don't gotta be a genius to help out.»
INV_SKIDS_O_TOOLE_NAME,«Скользкий» О'Тул,"""Skids"" O'Toole"
INV_SKIDS_O_TOOLE_OCC,Бывший заключённый,The Ex-Convict
INV_SKIDS_O_TOOLE_QUOTE,"«Я не для того вышел из тюряги, чтоб смотреть, как мир катится в тартарары.»",«I didn't get out of the joint just to watch the world end.»
INV_CAROLYN_FERN_NAME,Кэролин Ферн,Carolyn Fern
INV_CAROLYN_FERN_OCC,Психолог,The Psychologist
INV_CAROLYN_FERN_QUOTE,"«Безумцы заслуживают покоя разума, а не гибели духа.»","«The mad deserve peace of mind, not death of the spirit.»"
INV_VINCENT_LEE_NAME,Винсент Ли,Vincent Lee
INV_VINCENT_LEE_OCC,Врач,The Doctor
INV_VINCENT_LEE_QUOTE,"«Я найду ответы, даже если это меня убьёт.»","«I will find the answers, even if it kills me.»"
INV_AGNES_BAKER_NAME,Агнес Бейкер,Agnes Baker
INV_AGNES_BAKER_OCC,Официантка,The Waitress
INV_AGNES_BAKER_QUOTE,«Я помню иную жизнь — жизнь чародейства и завоеваний.»,"«I remember another life, one of sorcery and conquest.»"
INV_FINN_EDWARDS_NAME,Финн Эдвардс,Finn Edwards
INV_FINN_EDWARDS_OCC,Бутлегер,The Bootlegger
INV_FINN_EDWARDS_QUOTE,"«Никогда не теряй из виду ни выход, ни товар.»",«Never lose track of the exit or the merchandise.»
INV_PATRICE_HATHAWAY_NAME,Патрис Хэтэуэй,Patrice Hathaway
INV_PATRICE_HATHAWAY_OCC,Скрипачка,The Violinist
INV_PATRICE_HATHAWAY_QUOTE,"«Когда я играю на скрипке, музыка отзывается в иных мирах.»","«When I play the violin, the music echoes in other worlds.»"
INV_CARSON_SINCLAIR_NAME,Карсон Синклер,Carson Sinclair
INV_CARSON_SINCLAIR_OCC,Дворецкий,The Butler
INV_CARSON_SINCLAIR_QUOTE,«Подумайте о детях.»,«Think of the children.»
INV_TONY_MORGAN_NAME,Тони Морган,Tony Morgan
INV_TONY_MORGAN_OCC,Охотник за головами,The Bounty Hunter
INV_TONY_MORGAN_QUOTE,"«Когда я отыщу эту тварь, я её поймаю или прикончу раз и навсегда.»","«When I find the beast, I'll trap it or put it down for good.»"
INV_SISTER_MARY_NAME,Сестра Мэри,Sister Mary
INV_SISTER_MARY_OCC,Монахиня,The Nun
INV_SISTER_MARY_QUOTE,«Господь хранит мой путь. Я облачена в броню веры.»,«The Lord watches over my path. I am armored in faith.»
INV_SET_CORE,Базовая игра,Core
INV_SET_UNDER_THE_PYRAMIDS,Под пирамидами,Under the Pyramids
INV_SET_THE_DREAMLANDS,Страны снов,The Dreamlands
INV_SET_STRANGE_REMNANTS,Странные останки,Strange Remnants
INV_SET_SIGNS_OF_CARCOSA,Знаки Каркозы,Signs of Carcosa
INV_SET_CITIES_IN_RUIN,Города в руинах,Cities in Ruin
INV_SET_MASKS_OF_NYARLATHOTEP,Маски Ньярлатхотепа,Masks of Nyarlathotep
INV_SET_MOUNTAINS_OF_MADNESS,Хребты безумия,Mountains of Madness
INV_ROLE_ALL_ROUNDER,Универсал,All-Rounder
INV_ROLE_EXPEDITION,Экспедиция,Expedition
INV_ROLE_RESEARCH,Исследование,Research
INV_ROLE_COMBAT,Бой,Combat
INV_ROLE_SUPPORT,Поддержка,Support
INV_ROLE_MAGIC,Магия,Magic
INV_ROLE_GATE_CLOSER,Закрывающая врата,Gate Closer
LOC_1_REAL,"Анкоридж, Аляска, США","Anchorage, Alaska, USA"
LOC_1_DESC,"Жители этой последней гавани рассказывают о северном сиянии, что мерцает в геометриях, не дарованных честным атмосферам, — узорах, какие узнали бы — и устрашились бы — древние астрономы забытого Ломара. За городом дорога истончается в снег и тишину, и из той тишины доносится свирель, тонкая и далёкая, в каденциях, что древнее людского дыхания. Туземцы этого побережья, пережившие три переселения звёзд, не называют то, что сходит с ледника в равноденствие; они лишь выставляют свои подношения, обращают лица внутрь и не смотрят до утра.","Frontiersmen of this last harbour speak of an aurora that flickers in geometries not granted to honest atmospheres — patterns the old astronomers of forgotten Lomar would have recognised, and feared. Beyond the city the road dwindles into snow and silence, and from that silence comes a piping, thin and distant, in cadences that pre-date the breath of men. The natives of this coast, who have outlived three migrations of stars, will not name what shuffles down from the glacier at the equinox; they only set out their offerings, turn their faces inward, and do not look until morning."
LOC_2_REAL,"К северо-востоку от Гавайев, США","Northeast of Hawaii, USA"
LOC_2_DESC,"Команды этих широт прижимают свои карты железом, ибо одной бумаги уже недостаточно — чернила блуждают, промеры расходятся сами с собой, а в иные часы секстант настаивает на звезде, которой там нет. Под долгой тихоокеанской зыбью покоятся кости архитектуры, что старше любого острова, и в тихие ночи, когда луна оказывает услугу, рыбаки слышали хор, восходящий слогами рассола и базальта. Те, кто напевает этот мотив на берегу, обнаруживают, что родные собираются от них вдалеке, медленно, словно песнь несёт с собою собственную погоду.","The crews of these latitudes pin their charts with iron, for paper alone is no longer enough — the ink wanders, the soundings disagree with themselves, and at certain hours the sextant insists upon a star that is not there. Beneath the long Pacific roll the bones of an architecture older than any island, and on calm nights, when the moon obliges, fishermen have heard a chorus rising in syllables of brine and basalt. Those who hum the tune ashore find their families gathering away from them, slowly, as though the song carried a weather all its own."
LOC_3_REAL,Океанский полюс недоступности,Oceanic pole of inacessibility
LOC_3_DESC,"Здесь великие звёзды поворачиваются в выстраивание, какое календарям людей не было дозволено предсказать. Моряки, чьи суда уклоняются в эти одинокие воды, доносят о тяжести, словно бездонная кладка давит снизу сквозь корпус, и о сне — общем, одинаковом, неотклонимом — о городе под зелёным светом, чья геометрия отказывается признавать глаз. Там спит нечто ни мёртвое, ни терпеливое — лишь отложенное; и дата его пробуждения, хотя пока не внесена ни в один альманах, тем не менее приближается с равномерностью прилива, что не советуется с луной.","Here the great stars wheel into an alignment that the calendars of men were never permitted to predict. Sailors whose vessels stray over this lonely water report a heaviness as of fathomless masonry pressing upward through the hull, and a dream — shared, identical, unrefusable — of a green-litten city whose geometry refuses the eye. There sleeps something neither dead nor patient, only postponed; and the date of its waking, while not yet entered into any almanac, is nevertheless approaching with the steadiness of a tide that does not consult the moon."
LOC_4_REAL,"Форт-Провиденс, Канада","Fort Providence, Canada"
LOC_4_DESC,"В этой тайге чёрной ели и стоячей воды карты топографов имеют обыкновение переписывать себя между изданиями. Звероловы доносят о хижинах на координатах, какие предыдущие экспедиции оставили пустыми, и о следах, что возникают из ниоткуда и обрываются посреди нетронутого сугроба. Северная тишь — не молчание, но внимание — давнее, терпеливое, какому не нужно дышать. Путникам, проходящим здесь под долгими синими сумерками, советуют пересчитывать своих спутников дважды на каждой лиге и не делать замечаний, когда счёт расходится.","In this taiga of black spruce and standing water, the maps of the surveyors have a habit of revising themselves between printings. Trappers report cabins at coordinates earlier expeditions left empty, and footprints that emerge from nowhere and cease in the middle of an unbroken drift. The boreal hush is not silence but attention — the old patient kind, that does not need to breathe. Travellers passing through under the long blue dusk are advised to count their companions twice each league, and not to remark when the count differs."
LOC_5_REAL,Американский Средний Запад,The American Midwest
LOC_5_DESC,"Кукуруза здесь терпелива, а то, что лежит под ней, — ещё терпеливее. Старые фермеры по речным низинам держат иные двери заколоченными, иные колодцы засыпанными, иные альманахи несожжёнными — по причинам, о которых их внуки уже не трудятся спрашивать. Был, скажут они вам уклончиво, такой сезон, когда небо имело неверный вкус и скот не пил, и с луга, с тех пор распаханного в ничто, поднялся малый серый огонёк, и ушёл куда-то ещё, и был — на поколение — темой, какую местная пресса отказывалась печатать.","The corn here is patient, and what lies beneath it is more patient still. Old farmers along the river bottoms keep certain doors nailed, certain wells filled, certain almanacs unburned, for reasons their grandsons no longer trouble to ask. There was once, they will tell you obliquely, a season when the sky tasted wrong and the cattle would not drink, and from a meadow since ploughed into nothing a small grey light rose, and went elsewhere, and was — for a generation — a topic the local press declined to print."
LOC_6_REAL,"Даллас, Техас, США","Dallas, Texas, USA"
LOC_6_DESC,"Вышки этого степного города поднимают нефть, что в смутный час перед очисткой обнаруживает вязкость, какой геологи не могут объяснить, — и, в иные безветренные ночи, слабое свечение, словно она помнит, что была в ином месте. Стеклянные башни, выросшие над старыми прериями, стоят в выстраиваниях, каких ни один землемер не предлагал; они просто здесь, в расположениях, угодных геометрии, что не советовалась с городским советом. Кто впервые разметил эту сетку — вопрос, на который городские архивы не отвечают, а архивариусы, если на них надавить, советуют иные вопросы.","The derricks of this prairie city draw up oil that, in the dim hour before refining, exhibits a viscosity the geologists cannot account for — and, on certain windless nights, a faint phosphorescence as though it remembered being elsewhere. The towers of glass that have grown over the old plains stand in alignments no surveyor proposed; they are merely there, in arrangements pleasing to a geometry that did not consult the city council. Who first laid out this grid is a question the city archives do not answer, and the archivists, when pressed, recommend other questions."
LOC_7_REAL,"Панама, Панама","Panama City, Panama"
LOC_7_DESC,"Канал ведёт свой тоннаж по прилежным гроссбухам, но третья сторона — древнее шлюзов, древнее континентов — ведёт параллельный реестр внизу. Лоцманы говорят, отойдя достаточно далеко от конторы, о судах, что входят по одному календарю и выходят по другому, с командами невредимыми, но изменёнными в некой частности, какую всякий узнаёт в других и отказывается называть. Два океана здесь обмениваются большим, нежели солью; то, что переходит между ними в тёмные часы перехода, есть учтивость, какой ни один из них пока официально не запрашивал.","The canal counts its tonnage with diligent ledgers, but a third party — older than locks, older than continents — keeps a parallel register beneath. Pilots speak, when sufficiently far from the office, of vessels that enter on one calendar and emerge upon another, their crews intact but altered in some particular each man recognises in the others and refuses to name. The two oceans here exchange more than salt; what passes between them, in the dark hours of transit, is a courtesy that has not yet been formally requested by either."
LOC_8_REAL,Бермудский треугольник,The Bermuda Triangle
